Dates,text,label
19-Nov-19,M&M€™s electric SUV launches face year-long delay; eXUV300 launch pushed to FY22,1
15-Nov-19,Mahindra-controlled company keeps everyone guessing on Jawa bookings,1
25-Oct-19,Mahindra to fully acquire France-based Peugeot Motocycles,1
15-Oct-19,"Mahindra not chasing hybrids, to focus on electric vehicle tech",0
14-Oct-19,M&M to rollout BS-VI trucks in February; expect price hike up to Rs 2 lakh,0
10-Oct-19,"M&M, Ford JV could spin out 10 products; current Aspire won't be electrified",0
09-Oct-19,M&M launches special edition of utility vehicle Bolero,0
03-Oct-19,"M&M-Ford deal to lower costs by 40%, boost sourcing from common suppliers",0
01-Oct-19,"Mahindra, Ford shake hands to form new company; Ford takes $900mn hit",0
01-Oct-19,Car sales slump: Sky-high discounts fail to entice buyers,0
26-Sep-19,M&M expects hike in demand in Bihar during festive season,0
25-Sep-19,Hyundai Kona all sold out in India for 2019 despite Rs 24 lakh price tag,0
23-Sep-19,"Corporate tax rate cut: FM's decision has taken care of our marketing budget for the quarter, says Rajiv Bajaj",0
20-Sep-19,'Looks like Diwali has come early': Auto sector hails corporate tax rate cut,0
20-Sep-19,"India Inc hails Nirmala Sitharaman's tax cut, here is why",0
18-Sep-19,M&M incorporates MBPL as wholly-owned subsidiary,0
13-Sep-19,Mahindra to observe no production days at plants for up to 17 days this quarter,0
30-Aug-19,"Mahindra begins Peugeot e-scooter exports from India, lays off one-fifth of workforce",0
19-Aug-19,Mahindra to invest €˜hundreds of millions€™ in US plant,0
09-Aug-19,"Mahindra eyeing $6.3 billion US Postal truck-supply contract, signs LoI for plant in Michigan",0
08-Aug-19,Mahindra confirms launch plans of electric two-wheelers in India,0
07-Aug-19,"Car makers won€™t hold back on job cuts for long if demand slowdown persists: Pawan Goenka, MD, Mahindra",0
07-Aug-19, M&M to launch 6 electric vehicles by 2021,0
02-Aug-19,Mahindra cuts e-Verito price by up to Rs 80k,1
18-Jul-19,Electric three-wheelers sell more than conventional ones first time in India,1
10-Jul-19,"Why Mahindra is looking forward to BS 6 rollout, which is making most carmakers jittery",1
05-Jul-19,"Budget 2019: Temporary cut in GST will reverse downcycle in auto demand, says M&M€™s Pawan Goenka",1
01-Jul-19,"Mahindra sales fall 6% to 42,547 units in June",1
28-Jun-19,M&M invests Rs 60 cr in digital marketing infra in last 3 yrs,1
28-Jun-19,"Automakers may readily take back unsold BS-IV stock after April 1, 2020 deadline",1
24-Jun-19,"M&M's Pawan Goenka: For India, electric vehicles are the future not hybrids",0
19-Jun-19,"M&M to hike price of its range of personal vehicles by up to Rs 36,000 from July 1",0
14-Jun-19,Mahindra picks up over 11% stake in Swiss firm for CHF 4.3 mn,0
14-Jun-19,Piaggio to invest up to Rs 300 crore; electric three-wheeler launch later this year,0
13-Jun-19,"Honda says BS-VI will be a game changer for MoTown, remove discount culture",0
11-Jun-19,Zoomcar in early talks to merge with rival Drivezy,0
04-Jun-19,Auto body raises concerns about BS-VI fuel availability,1
04-Jun-19,Cost-happy Mahindra not to sell BS-VI engines to rivals,1
03-Jun-19,Why Mahindra won't give up on its love for diesel despite BS-VI,1
03-Jun-19,M&M to launch BS-VI compliant vehicles soon,1
03-Jun-19,M&M: In-line Q4 numbers; attractive valuation makes it a long-term buy,1
30-May-19,"CLSA downgrades Mahindra's on weak Q4 show, other brokerages cut target",1
29-May-19,"M&M Standalone March 2019 Net Sales at Rs 14,035.16 crore, up 5.47% Y-o-Y",1
10-May-19,Mahindra launches entry level variant of XUV500 at Rs 12.22 lakh,0
03-May-19,Demonetisation has crippled cash market for used cars,0
03-May-19,"M&M launches facelift of compact SUV TUV300, priced at Rs 8.38 lakh",0
25-Apr-19,Mahindra & Mahindra to deploy 50 electric vehicles on Uber platform,1
10-Apr-19,Mahindra & Mahindra Q4 PAT may dip 22.1% YoY to Rs. 787.4 cr: Prabhudas Lilladher,1
01-Apr-19,"M&M sales up 1% in March at 62,952 units",0
28-Mar-19,"Mahindra to increase price of vehicles by up to Rs 73,000 from April",0
22-Mar-19,Ideas for Profit | M&M Financial Services: Risk reward reasonable; accumulate,0
20-Mar-19,Here's why the shift to BS-VI entails more than what meets the eye,0
18-Mar-19,"MG Motors electric SUV eZS to be priced below Rs 25 lakh, launch in December quarter",1
14-Mar-19,"Mahindra XUV300 bookings cross 13,000 mark",1
11-Mar-19,"Exclusive: SsangYong Motor, M&M's Korean unit, to boost product launches with around $1 billion war chest",1
06-Mar-19,"Purely electric vehicle platform in long term, EV based on Ford platform on anvil: M&M",0
01-Mar-19,Revised FAME scheme puts EV segment in fast lane: M&M,0
27-Feb-19,Peugeot to bring electric cars in its India debut in 2021,0
27-Feb-19,Peugeot to bring electric cars in its India debut in 2021,0
25-Feb-19,"Mahindra Glyd-es into Mumbai's app-based taxi business; to rival Uber, Ola",0
25-Feb-19,Mahindra launches e-mobility service in Mumbai,0
25-Feb-19,Mahindra launches e-mobility service in Mumbai,0
14-Feb-19,"Mahindra's XUV300 debuts at Rs 7.9 lakh, priced at a premium to Maruti Brezza",0
12-Feb-19,Buy Mahindra and Mahindra; target of Rs 878: Prabhudas Lilladher,0
12-Feb-19,Clash of titans: Royal Enfield dares challenger Jawa to 'try harder',0
11-Feb-19,"Exclusive | Not looking for any GST rate reduction on two-wheelers: Pawan Goenka, Mahindra",0
11-Feb-19,"Ideas for Profit | Leadership position, attractive valuation make M&M a long-term buy",0
11-Feb-19,"M&M Standalone December 2018 Net Sales at Rs 13,070.36 crore, up 12.89% Y-o-Y",0
11-Feb-19,What should investors do with M&M stock post Q3 results?,0
08-Feb-19,First Cut | Decent showing by M&M in Q3 FY19; accumulate for the long-term,0
08-Feb-19,"M&M, MVML post 60% jump in net Q3 profit at Rs 1,476 crore; tractor EBIT up 6%",0
06-Feb-19,EXCLUSIVE: Bajaj Auto€™s electric vehicle brand Urbanite to debut in 6-9 months,1
04-Feb-19,"Mahindra in talks to sell 20,000 electric vehicles; Uber EV pilot to kick off this month",1
01-Feb-19,Kisan scheme more a sentiment booster than a demand driver for tractors: M&M€™s Pawan Goenka,1
01-Feb-19,"Budget 2019: PM Kisan Samman Nidhi to boost tractor, two-wheeler demand",1
01-Feb-19,"M&M January sales up 7% at 55,722 vehicles",1
29-Jan-19,Mahindra in dilemma over timing of switchover to BS-VI trucks,0
29-Jan-19,Mahindra launches Furio truck range starting at Rs 17.45 lakh,0
23-Jan-19,"Technical View | Top buy and sell ideas by Ashwani Gujral, Sudarshan Sukhani, Mitessh Thakkar for short term",1
14-Jan-19,Buy M&M with target Rs 775-790: Aditya Agarwal,1
14-Jan-19,"Buy Mahindra & Mahindra, says Mazhar Mohammad",1
09-Jan-19,"Mahindra & Mahindra Q3 PAT seen up 3% YoY to Rs. 1,045.5 cr: Motilal Oswal",1
07-Jan-19,US court to continue investigation in Mahindra-Fiat case ,0
01-Jan-19,"M&M tractor sales down 6% at 17,404 units in December",1
01-Jan-19,"M&M December sales up 1% at 39,755 units",1
31-Dec-18,"Weaker oil prices, reforms, stable govt are key drivers for Indian markets in 2019",1
20-Dec-18,"Better farm techniques needed, not driverless tractors: John Deere",1
19-Dec-18,Mahindra to launch new compact SUV XUV300 in February,1
18-Dec-18,"Tata Motors to hike truck, bus prices by 1-1.5% next month",0
18-Dec-18,Mahindra inks pact to increase its equity in associate firm Sampo to 49.04%,0
12-Dec-18,Global VP Patrick Carre says Shell Lubricants well positioned to move to BS-VI,0
03-Dec-18,"Mahindra tractor sales rise 13% to 25,949 units in November",0
28-Nov-18,Roxor SUV IPR case: It€™s advantage Mahindra over Fiat Chrysler,0
27-Nov-18,Car makers line up price hikes despite a slowing market,0
27-Nov-18,Mahindra engines will soon become the heart of the Ford Ecosport,0
20-Nov-18,Buy Mahindra and Mahindra; target of Rs 1016: Motilal Oswal,0
20-Nov-18,Buy Mahindra and Mahindra; target of Rs 1016: Motilal Oswal,0
20-Nov-18,Buy Mahindra and Mahindra; target of Rs 950: LKP Research,0
20-Nov-18,Buy Mahindra and Mahindra; target of Rs 984: Prabhudas Lilladher,0
19-Nov-18,"M&M CFO pins blame on Marazzo launch, commodity costs for dip in Q2 auto margins",1
16-Nov-18,"M&M to hike Marazzo price by up to Rs 40,000 from January",1
16-Nov-18,EV flag bearer Mahindra not keen on entering electric two-wheeler market in India,1
15-Nov-18,"SUVs, high-performance cars to light up Mahindra€™s electric portfolio in 2 years",1
15-Nov-18,Ideas for Profit | Attractive valuation makes M&M a long term buy,1
15-Nov-18,"M&M down 2% post Q2 performance; Credit Suisse, Nomura cut targets",1
