Dates,text,label
03-Dec-19,"Hot Stocks: Stay bullish on Nifty with stop-loss at 11,883 for target of 12,300",0
11-Nov-19,"Top buy and sell ideas by Ashwani Gujral, Prakash Gaba, Sudarshan Sukhani for short term",0
23-Oct-19,"Kotak Mahindra Bank: Asset quality takes away sheen, buy on weakness",0
16-Oct-19,"Podcast | Hot Stocks: Another round of short coverings could take Nifty towards 11,550",1
23-Jul-19,Kotak Mahindra Bank: Ideally placed to negotiate a difficult environment; buy on dips,0
12-Jul-19,"Kotak Mahindra Bank Q1 Net Profit seen up 35.6% YoY to Rs. 1,390 cr: Sharekhan",0
03-Jun-19,CII pitches for reducing cost of equity,1
03-May-19,Hold Kotak Mahindra Bank; target of Rs 1500: ICICI Direct,0
02-May-19,Buy Kotak Mahindra Bank; target of Rs 1554: Nalanda Securities,0
02-May-19,Hold Kotak Mahindra Bank; target of Rs 1385: Prabhudas Lilladher,0
02-May-19,Buy Kotak Mahindra Bank; target of Rs 1481: HDFC Securities,0
02-May-19,Accumulate Kotak Mahindra Bank; target of Rs 1550: Dolat Capital,0
02-May-19,"Kotak Mahindra Bank Q4 profit jumps 25% YoY; should you buy, sell or hold?",0
02-May-19,Ideas for Profit | Kotak Mahindra Bank: Look to own this stock on any correction,0
30-Apr-19,"Uday Kotak warns of more liquidity squeeze, muddying waters for financial sector again",0
30-Apr-19,"Kotak Mahindra Consolidated March 2019 Net Interest Income (NII) at Rs 4,001.02 crore, up  18.07% Y-o-Y",0
30-Apr-19,"Kotak Mahindra Standalone March 2019 Net Interest Income (NII) at Rs 3,047.87 crore, up  18.15% Y-o-Y",0
30-Apr-19,"Kotak Mahindra Bank Q4 profit jumps 25% YoY to Rs 1,408 cr",0
30-Apr-19,"Kotak Bank Q4 preview: Net profit, NII expected to grow in double digits",0
30-Apr-19,"Top buy and sell ideas by Sudarshan Sukhani, Mitessh Thakkar for short term",0
25-Apr-19,"Kotak Mahindra Investments exits Matrix, sells 19.77% stake for Rs 10 crore",0
24-Apr-19,"As RBI and Kotak Bank spar over promoter stake rule, experts feel spirit of law at stake",0
12-Apr-19,"RBI rate cuts to boost demand, focus should be on 7% GDP growth: Uday Kotak",0
09-Apr-19,"Kotak Mahindra Bank Q4 Net Profit seen up 23.5% YoY to Rs. 1,388 cr: Motilal Oswal",0
05-Apr-19,Lakshmi Vilas Bank approves merger with Indiabulls Housing Finance,0
19-Mar-19,Kotak Mahindra group sets up $400 mn fund with DivyaSree to build office properties,0
28-Feb-19,Kotak Bank lowers lending rate by a marginal 5 bps,0
22-Feb-19,ING Group sells entire 3% stake in Kotak Mahindra Bank,0
19-Feb-19,Opinion | When the bubble bursts,1
18-Feb-19,Uday Kotak believes it is time for consolidation in NBFC space,1
11-Feb-19,"Top buy and sell ideas by Ashwani Gujral, Sudarshan Sukhani, Mitessh Thakkar for short term",1
06-Feb-19,"Podcast | Stock picks of the day: 'Nifty likely to hover in 10,600-11,000 range'",1
30-Jan-19,Hold Kotak Mahindra Bank; target of Rs 1291: Prabhudas Lilladher,0
30-Jan-19,Accumulate Kotak Mahindra Bank; target of Rs 1420 : Dolat Capital,0
29-Jan-19,Transcript| Kotak Mahindra Bank Q3 FY19 Earnings Conference Call,0
25-Jan-19,Buy Kotak Mahindra Bank; target of Rs 1400: HDFC Securities,0
25-Jan-19,Hold Kotak Mahindra Bank; target of Rs 1400: ICICI Direct,0
22-Jan-19,Kotak Mahindra Bank Q3 review: An ideal long-term compounding candidate,0
21-Jan-19,"Kotak Mahindra Consolidated December 2018 Net Interest Income (NII) at Rs 3,804.05 crore, Up  19.4% Y-o-Y.",0
21-Jan-19,"Kotak Mahindra Standalone December 2018 Net Interest Income (NII) at Rs 2,939.08 crore, up  22.78% Y-o-Y",0
21-Jan-19,"Kotak Mahindra Bank Q3 Review €“ capital market-linked biz soft, but steady overall show",0
